Title,Location,Country,Date,JobID,Description,Requisition Type,Requisition Id,Job Schedule,Degree Level,Contract Type,Location Name,Apply Link
Business Analyst,India,IN,2022-06-06,372,,Permanent,300000353172819,,,,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/372/apply/email
Associate Engineer,"Gurgaon, Haryana, India",IN,2022-06-06,373,,Permanent,300000353185984,,,,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/373/apply/email
Software Engineer,"Noida, Uttar Pradesh, India",IN,2022-06-04,350,,Permanent,300000342250531,Full time,,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/350/apply/email
Senior Executive - Implant,"Bangalore, Karnataka, India",IN,2022-06-03,240,"•	DMS Process.
•	Handling Associates Queries (Salary, ESI, PF & Medical issues)
•	Working on associates contract renewal process.
•	Hygiene data preparation 
•	Manage attrition reduction , NCNS / LOP Calling and taking appropriate action basis on client confirmation (Warning , show cause letter process)
•	Support to Audit / Payroll process.
•	BGV Coordination.
•	Working with associates and get 100% POP Completion.
",Permanent,300000298576844,Full time,,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/240/apply/email
Executive - Recruitment,India,IN,2022-06-03,305,"candidate is good for the Sourcing & we need the close offer ASAP,, 
for Monthly Net tak home salary is 18000 ",Permanent,300000325947187,Full time,Post Bachelor's,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/305/apply/email
Senior Executive - Finance,"Hyderabad, Telangana, India",IN,2022-06-03,317,"Order Processing & Confirmation
Recon & Reporting",Permanent,300000331673145,Full time,Three Years College,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/317/apply/email
Senior Executive - Implant,"Jamshedpur, Jharkhand, India",IN,2022-06-03,321,Employee life cycle management of Client TSRDS / TSF.,Permanent,300000332185606,Full time,,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/321/apply/email
Operations Manager,"Noida, Uttar Pradesh, India",IN,2022-06-03,331,,Permanent,300000336491316,Full time,High School Graduate,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/331/apply/email
IT Recruiter - US Recruitment,India,IN,2022-06-03,336,,Permanent,300000337449021,,,,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/336/apply/email
Associate Manager - Programs,"Bangalore, Karnataka, India",IN,2022-06-03,343,,Permanent,300000337604216,,,,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/343/apply/email
Recruitment - Consultant,India,IN,2022-06-02,285,,Temp,300000317504677,Full time,,Temporary,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/285/apply/email
QA Engineer,India,IN,2022-06-02,319,,Permanent,300000332059628,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/319/apply/email
Senior Software Engineer,"Bengaluru East, Karnataka, India",IN,2022-06-02,323,,Permanent,300000332229014,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/323/apply/email
Senior Software Engineer,"Bangalore, Karnataka, India",IN,2022-06-01,31,,Permanent,300000143627489,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/31/apply/email
Senior Consultant - Recruitment,India,IN,2022-06-01,208,,Permanent,300000281609731,Full time,,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/208/apply/email
Senior - Process Executive,"Mumbai, Maharashtra, India",IN,2022-06-01,213,,Permanent,300000285994990,,,,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/213/apply/email
team leader,"Baddi, Himachal Pradesh, India",IN,2022-06-01,220,,Permanent,300000287990070,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/220/apply/email
Assistant Manager,India,IN,2022-06-01,246,,Permanent,300000310213142,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/246/apply/email
Executive - Sales,"Hyderabad, Telangana, India",IN,2022-06-01,256,,Permanent,300000311561135,Full time,High School Graduate,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/256/apply/email
Key Account Manager,"Chennai, Tamil Nadu, India",IN,2022-06-01,261,"An aggressive, go getter with 3 - 6 years Chennai Market B2B Sales Experience. Responsible for New Business Acquisition and Client Account Management.",Permanent,300000311732517,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/261/apply/email
Senior Software Engineer,"Bangalore, Karnataka, India",IN,2022-06-01,276,,Permanent,300000316573568,,,,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/276/apply/email
Senior System Administrator - Wintel,India,IN,2022-06-01,279,,Permanent,300000316591267,,,,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/279/apply/email
SAP - FICO Consultant,"Karnataka, India",IN,2022-06-01,282,,Permanent,300000316826211,Full time,Master's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/282/apply/email
SAP - Consultant,"Bangalore, Karnataka, India",IN,2022-06-01,288,,Permanent,300000325661099,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/288/apply/email
Assistant Manager - Talent Acquisition,"Noida, Uttar Pradesh, India",IN,2022-06-01,290,,Permanent,300000325762595,Full time,Three Years College,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/290/apply/email
Assistant Manager - Talent Acquisition,"Noida, Uttar Pradesh, India",IN,2022-06-01,291,,Permanent,300000325762757,Full time,Three Years College,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/291/apply/email
Business Development - Manager,"Hyderabad, Telangana, India",IN,2022-06-01,292,,Permanent,300000325780147,Full time,Three Years College,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/292/apply/email
Team Leader - Recruitment,"Mumbai, Maharashtra, India",IN,2022-06-01,293,,Permanent,300000325780175,Full time,No Formal Education,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/293/apply/email
Area Service Manager,India,IN,2022-06-01,306,,Permanent,300000326422362,Full time,Bachelor's Degree,Regular,Null,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/306/apply/email
Key Account Manager,"Hyderabad, Telangana, India",IN,2022-06-01,310,Not required,Permanent,300000327184277,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/310/apply/email
