Title,Location,Country,Date,JobID,Description,Requisition Type,Requisition Id,Job Schedule,Degree Level,Contract Type,Location Name,Apply Link
Accounts Executive,"Maharashtra, India",IN,2022-05-26,200,,Permanent,300000276501190,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/200/apply/email
Manager - Client Relations,India,IN,2022-05-26,212,,Permanent,300000282970086,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/212/apply/email
Associate Engineer,"Noida, Uttar Pradesh, India",IN,2022-05-26,221,,Permanent,300000288015271,Full time,High School Graduate,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/221/apply/email
Associate Engineer,"Chennai, Tamil Nadu, India",IN,2022-05-26,223,,Permanent,300000288199279,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/223/apply/email
AGM,"Delhi, India",IN,2022-05-25,108,,Permanent,300000199701438,Full time,Master's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/108/apply/email
Assistant Vice President - Enterprise Business,"Bangalore, Karnataka, India",IN,2022-05-25,158,,Permanent,300000243721584,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/158/apply/email
Executive - Customer Support,"Telangana, India",IN,2022-05-24,6,"The Customer Success Specialist is a client-facing (HR and Recruiters) role, who works to engage and enable our customers to maximize the full value of the Monster.com platform. As the trusted advisor and advocate for our customers, the Customer Success Specialist manages the relationship and customer health for the assigned customers throughout the post-sales lifecycle. The Customer Success Specialist will guide the customer with best practices and training sessions to drive product adoption.



This role requires to partner with Client, Product, Technical Specialists, Marketing and Support teams within Monster.com to enhance customer adoption. To achieve a trusted advisory role for customer, this role requires to be good in domain and technical aspects, ability to learn, research and present.",Permanent,300000133828743,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/6/apply/email
Senior Manager - Key accounts,"Mumbai, Maharashtra, India",IN,2022-05-24,40,Not required,Permanent,300000145705746,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/40/apply/email
Assistant Manager - Legal,"Bangalore, Karnataka, India",IN,2022-05-24,113,,Permanent,300000200025569,Full time,Master's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/113/apply/email
Internal Temp Recruiter - Jaipur,India,IN,2022-05-24,175,"Internal Recruitment, Sourcing, scheduling, follow up for documentation. ",Temp,300000261960171,Full time,,Temporary,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/175/apply/email
Business Development Manager,India,IN,2022-05-24,187,,Permanent,300000275080457,,,,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/187/apply/email
Manager - Revenue Assurance,India,IN,2022-05-24,196,,Permanent,300000275459892,,,,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/196/apply/email
Branch Manager,India,IN,2022-05-20,121,,Permanent,300000203541380,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/121/apply/email
Field Officer,"Gurgaon, Haryana, India",IN,2022-05-20,125,,Permanent,300000212879851,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/125/apply/email
AVP Corp Sales,India,IN,2022-05-20,141,"Looking for Sales and Solutions focused 12-15 years experienced candidate to lead cross sell activities. This is a revenue generation role and would require the candidate to front end group level client meets, internal reviews with business CXOs, work on organization level key accounts, strategize activities and initiatives at a group level that would aid cross sell efforts ..etc",Permanent,300000216288889,Full time,Master's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/141/apply/email
HR Executive,"Bangalore, Karnataka, India",IN,2022-05-20,157,Opening for HR executive ,Permanent,300000243064335,Full time,Post Bachelor's,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/157/apply/email
Key Account Manager,"Telangana, India",IN,2022-05-20,159,,Permanent,300000243971740,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/159/apply/email
NAPS,"Bangalore, Karnataka, India",IN,2022-05-20,161,,NAPS,300000244459250,Full time,No Formal Education,Temporary,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/161/apply/email
Executive - Sales,"Telangana, India",IN,2022-05-20,163,We are looking for Rocket sales guys who are passionate about B2C sales domain and Target driven.,Permanent,300000244671188,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/163/apply/email
Team Lead-Training,"Tamil Nadu, India",IN,2022-05-19,53,,Permanent,300000148179064,Full time,High School Graduate,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/53/apply/email
Client Relations Representative,"Hyderabad, Telangana, India",IN,2022-05-19,104,,Permanent,300000191045544,Full time,,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/104/apply/email
Senior - Delivery Manager,India,IN,2022-05-19,155,,Permanent,300000231964803,,,,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/155/apply/email
Senior Admin Executive,"Hyderabad, Telangana, India",IN,2022-05-18,128,,Permanent,300000213673620,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/128/apply/email
System Administrator,"Bangalore, Karnataka, India",IN,2022-05-18,131,Help desk support and system administration,Permanent,300000213825954,Full time,No Formal Education,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/131/apply/email
General Manager - Business Finance,"Delhi, India",IN,2022-05-18,137,Finance Business Partner for GS & NEEM business in WFM,Permanent,300000214955369,Full time,First Professional,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/137/apply/email
Senior Software Engineer (PHP),"Bengaluru East, Karnataka, India",IN,2022-05-18,138,,Permanent,300000216070155,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/138/apply/email
Tech Lead (PHP),"Bengaluru East, Karnataka, India",IN,2022-05-18,140,,Permanent,300000216139212,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/140/apply/email
Product Manager,"Bangalore, Karnataka, India",IN,2022-05-17,37,,Permanent,300000145126678,,,,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/37/apply/email
Network Engineer,"Hyderabad, Telangana, India",IN,2022-05-17,51,,Permanent,300000148132686,Full time,No Formal Education,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/51/apply/email
Associate Product Manager,"Bengaluru East, Karnataka, India",IN,2022-05-17,103,,Permanent,300000190019524,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/103/apply/email
Senior Executive - Procurement,"Telangana, India",IN,2022-05-16,72,Having an experience in the same department ,Permanent,300000153123501,Full time,Elementary School Completed,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/72/apply/email
Talent Advisor,India,IN,2022-05-16,91,,Permanent,300000187381622,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/91/apply/email
Tech Lead,"Bengaluru East, Karnataka, India",IN,2022-05-16,100,,Permanent,300000189772095,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100/apply/email
Zonal Manager,"Noida, Uttar Pradesh, India",IN,2022-05-13,77,Zonal Sales Manager,Permanent,300000154128159,Full time,Post Bachelor's,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/77/apply/email
Executive - Recruiter,"Bangalore, Karnataka, India",IN,2022-05-12,14,,Permanent,300000137866949,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/14/apply/email
Area Service Manager,India,IN,2022-05-12,47,Area Services Manager ,Permanent,300000148105410,Full time,University,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/47/apply/email
Business Development - Manager,"Hyderabad, Telangana, India",IN,2022-05-12,65,Must have a Proven Sales Record of atleast 12 Months in the Company ,Permanent,300000148807012,Full time,Post Bachelor's,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/65/apply/email
Assistant Manager,India,IN,2022-05-12,67,,Permanent,300000148827627,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/67/apply/email
Senior Executive - MIS,India,IN,2022-05-12,70,,Permanent,300000149155711,Full time,,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/70/apply/email
